Entry	Entry name	Protein names	Length	Organism	Proteomes	Protein families	DNA binding	Metal binding	Pathway	pH dependence	Temperature dependence	Features	Subcellular location [CC]	Intramembrane	Topological domain	Transmembrane
P33335	SGE1_YEAST	Protein SGE1 (10-N-nonyl acridine orange resistance protein) (Crystal violet resistance protein)	543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	Major facilitator superfamily						Chain (1); Sequence conflict (2); Topological domain (15); Transmembrane (14)	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.		TOPO_DOM 1..8;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 30..41;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 63..79;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 101..103;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 125..131;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 153..162;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 184..227;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 249..255;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 277..300;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 322..341;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 363..373;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 395..399;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 421..443;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 465..508;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 530..543;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 9..29;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 42..62;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 80..100;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 104..124;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 132..152;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 163..183;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 228..248;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 256..276;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 301..321;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 342..362;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 374..394;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 400..420;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 444..464;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 509..529;  /note="Helical";  /evidence="ECO:0000255"
P47166	SGM1_YEAST	Protein SGM1 (Slow growth on galactose and mannose protein 1)	707	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	SGM1 family						Chain (1); Coiled coil (2); Initiator methionine (1); Modified residue (8)	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:14562095}.			
P42843	SKP2_YEAST	F-box protein SKP2	763	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV				PATHWAY: Protein modification; protein ubiquitination.			Chain (1); Compositional bias (1); Domain (1); Modified residue (1); Sequence conflict (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.			
P50875	SPT20_YEAST	Transcription factor SPT20	604	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	SPT20 family						Chain (1); Compositional bias (5); Modified residue (2); Sequence conflict (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.			
P06843	SPT2_YEAST	Protein SPT2 (Negative regulator of Ty transcription)	333	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	SPT2 family						Chain (1); Coiled coil (2); Initiator methionine (1); Modified residue (2); Mutagenesis (3); Region (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:2072912, ECO:0000269|PubMed:26109053}.			
P53207	SNU71_YEAST	U1 small nuclear ribonucleoprotein component SNU71	620	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	SNU71 family						Beta strand (3); Chain (1); Coiled coil (1); Helix (3); Modified residue (2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
Q12306	SMT3_YEAST	Ubiquitin-like protein SMT3	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Ubiquitin family, SUMO subfamily						Beta strand (5); Chain (1); Cross-link (1); Domain (1); Helix (2); Initiator methionine (1); Modified residue (3); Propeptide (1); Turn (1)				
P14359	SNA3_YEAST	Protein SNA3	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	UPF0057 (PMP3) family						Chain (1); Cross-link (1); Topological domain (3); Transmembrane (2)	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein. Late endosome membrane; Multi-pass membrane protein. Vacuole lumen. Cytoplasmic vesicle membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=Sorted via late endosomes to the vacuolar lumen in a ubiquitin-independent manner.		TOPO_DOM 1..16;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 38..48;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 70..133;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 17..37;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 49..69;  /note="Helical";  /evidence="ECO:0000255"
P53251	SLX9_YEAST	Ribosome biogenesis protein SLX9	210	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	SLX9 family						Chain (1)	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.			
P32566	SMI1_YEAST	Cell wall assembly regulator SMI1 (Killer toxin-resistance protein 4)	505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	KNR4/SMI1 family						Beta strand (8); Chain (1); Cross-link (1); Helix (7); Modified residue (6); Turn (2)	SUBCELLULAR LOCATION: Nucleus.			
P33328	SNC2_YEAST	Synaptobrevin homolog 2	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	Synaptobrevin family						Chain (1); Cross-link (1); Domain (1); Lipidation (1); Modified residue (1); Sequence conflict (1); Topological domain (2); Transmembrane (1)	SUBCELLULAR LOCATION: Endomembrane system; Single-pass type IV membrane protein. Note=Post-Golgi vesicle membrane. {ECO:0000305}.		TOPO_DOM 1..93;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 113..115;  /note="Vesicular";  /evidence="ECO:0000255"	TRANSMEM 94..112;  /note="Helical; Anchor for type IV membrane protein";  /evidence="ECO:0000255"
P22213	SLY1_YEAST	Protein SLY1 (Suppressor of loss of YPT1 protein 1)	666	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	STXBP/unc-18/SEC1 family						Beta strand (20); Chain (1); Helix (27); Natural variant (1); Region (1); Repeat (4); Turn (5)	SUBCELLULAR LOCATION: Cytoplasm. Membrane; Peripheral membrane protein.			
Q04174	SMP3_YEAST	GPI mannosyltransferase 4 (EC 2.4.1.-) (GPI mannosyltransferase IV) (GPI-MT-IV)	516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	Glycosyltransferase 22 family, PIGZ subfamily			PATHWAY: Glycolipid biosynthesis; glycosylphosphatidylinositol-anchor biosynthesis.			Chain (1); Glycosylation (2); Sequence conflict (5); Topological domain (9); Transmembrane (8)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.		TOPO_DOM 1..5;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 27..60;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 82..175;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 197..210;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 232..270;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 292..295;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 317;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 339..348;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 370..516;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 6..26;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 61..81;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 176..196;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 211..231;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 271..291;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 296..316;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 318..338;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 349..369;  /note="Helical";  /evidence="ECO:0000255"
P40072	SLX8_YEAST	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX8 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SLX8) (Synthetic lethal of unknown function protein 8)	274	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V				PATHWAY: Protein modification; protein ubiquitination.			Chain (1); Modified residue (3); Zinc finger (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17591698, ECO:0000269|PubMed:18948542}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:26906737}. Note=Localizes to few distinct genomic hotspots of non-H2B protein ubiquitination (ub-hotspots). {ECO:0000269|PubMed:31015336}.			
P47037	SMC3_YEAST	Structural maintenance of chromosomes protein 3 (DA-box protein SMC3)	1230	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	SMC family, SMC3 subfamily						Beta strand (14); Chain (1); Coiled coil (2); Compositional bias (1); Domain (1); Helix (14); Modified residue (2); Nucleotide binding (1); Turn (4)	SUBCELLULAR LOCATION: Nucleus. Chromosome. Note=Associates with chromatin. Before prophase it is scattered along chromosome arms. At anaphase, the MCD1 subunit of the cohesin complex is cleaved, leading to the dissociation of the complex from chromosomes, allowing chromosome separation.			
P31377	STX8_YEAST	Syntaxin-8 (SNARE protein related to mammalian syntaxin 8) (ULP1-interacting protein 2)	255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome I	Syntaxin family						Chain (1); Domain (1); Lipidation (1); Topological domain (1); Transmembrane (1)	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000269|PubMed:12453154}; Single-pass type IV membrane protein {ECO:0000269|PubMed:12453154}.		TOPO_DOM 1..234;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 235..255;  /note="Helical; Anchor for type IV membrane protein";  /evidence="ECO:0000255"
Q05937	STP3_YEAST	Zinc finger protein STP3	343	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII							Chain (1); Compositional bias (1); Modified residue (2); Zinc finger (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.			
P39932	STL1_YEAST	Sugar transporter STL1	569	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family						Chain (1); Frameshift (1); Glycosylation (2); Sequence conflict (1); Topological domain (13); Transmembrane (12)	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.		TOPO_DOM 1..29;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 51..79;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 101..107;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 129;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 151..168;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 190..203;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 225..291;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 313..330;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 352..358;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 380..389;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 411..426;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 448..453;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 475..569;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 30..50;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 80..100;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 108..128;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 130..150;  /note="Helical; Name=4";  /evidence="ECO:0000255"; TRANSMEM 169..189;  /note="Helical; Name=5";  /evidence="ECO:0000255"; TRANSMEM 204..224;  /note="Helical; Name=6";  /evidence="ECO:0000255"; TRANSMEM 292..312;  /note="Helical; Name=7";  /evidence="ECO:0000255"; TRANSMEM 331..351;  /note="Helical; Name=8";  /evidence="ECO:0000255"; TRANSMEM 359..379;  /note="Helical; Name=9";  /evidence="ECO:0000255"; TRANSMEM 390..410;  /note="Helical; Name=10";  /evidence="ECO:0000255"; TRANSMEM 427..447;  /note="Helical; Name=11";  /evidence="ECO:0000255"; TRANSMEM 454..474;  /note="Helical; Name=12";  /evidence="ECO:0000255"
Q04562	TMN2_YEAST	Transmembrane 9 superfamily member 2	672	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Nonaspanin (TM9SF) (TC 9.A.2) family						Chain (1); Signal peptide (1); Topological domain (10); Transmembrane (9)	SUBCELLULAR LOCATION: Vacuole membrane; Multi-pass membrane protein.		TOPO_DOM 19..307;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 329..383;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 405..410;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 432..447;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 469..479;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 501..532;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 554..565;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 587..601;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 623..628;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 650..672;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 308..328;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 384..404;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 411..431;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 448..468;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 480..500;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 533..553;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 566..586;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 602..622;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 629..649;  /note="Helical";  /evidence="ECO:0000255"
P53549	PRS10_YEAST	26S proteasome subunit RPT4 (26S protease subunit SUG2) (Proteasomal cap subunit)	437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	AAA ATPase family						Chain (1); Initiator methionine (1); Modified residue (1); Nucleotide binding (1); Sequence conflict (2)				
P36110	PRY2_YEAST	Protein PRY2 (Pathogenesis-related protein 2)	329	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	CRISP family						Chain (1); Compositional bias (1); Domain (1); Signal peptide (1)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11935221, ECO:0000269|PubMed:23027975}.			
Q07350	PRP11_YEAST	Pre-mRNA-splicing factor PRP11	266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	SF3A2 family						Beta strand (7); Chain (1); Compositional bias (1); Helix (1); Turn (1); Zinc finger (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.			
P24384	PRP22_YEAST	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22 (EC 3.6.4.13)	1145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	DEAD box helicase family, DEAH subfamily, DDX8/PRP22 sub-subfamily						Beta strand (26); Chain (1); Domain (3); Helix (29); Motif (1); Nucleotide binding (1); Turn (7)	SUBCELLULAR LOCATION: Nucleus.			
P41909	PXA1_YEAST	Peroxisomal long-chain fatty acid import protein 2 (Peroxisomal ABC transporter 1)	870	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily						Chain (1); Domain (2); Erroneous initiation (2); Glycosylation (3); Nucleotide binding (1); Transmembrane (6)	SUBCELLULAR LOCATION: Peroxisome membrane; Multi-pass membrane protein.			TRANSMEM 60..80;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00441"; TRANSMEM 207..227;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00441"; TRANSMEM 247..267;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00441"; TRANSMEM 330..350;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00441"; TRANSMEM 353..373;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00441"; TRANSMEM 455..475;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00441"
Q12488	PSF1_YEAST	DNA replication complex GINS protein PSF1 (Partner of Sld five 1)	208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	GINS1/PSF1 family						Chain (1); Mutagenesis (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12730134}. Note=Associates with autonomously replicating sequence (ARS) regions in S phase. This association requires SLD3 and DPB11.			
P40359	PSF2_YEAST	DNA replication complex GINS protein PSF2 (Partner of Sld five 2)	213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	GINS2/PSF2 family						Chain (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12730134}.			
P25560	RER1_YEAST	Protein RER1 (Retention of ER proteins 1)	188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome III	RER1 family						Chain (1); Sequence conflict (4); Topological domain (3); Transmembrane (2)	SUBCELLULAR LOCATION: Golgi apparatus membrane; Multi-pass membrane protein.		TOPO_DOM 1..61;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 83..138;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 162..188;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 62..82;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 139..161;  /note="Helical";  /evidence="ECO:0000255"
P49166	RL37A_YEAST	60S ribosomal protein L37-A (L43) (Large ribosomal subunit protein eL37-A) (YL35) (YP55)	88	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	Eukaryotic ribosomal protein eL37 family		METAL 19;  /note="Zinc";  /evidence="ECO:0000269|PubMed:22096102"; METAL 22;  /note="Zinc";  /evidence="ECO:0000269|PubMed:22096102"; METAL 34;  /note="Zinc";  /evidence="ECO:0000269|PubMed:22096102"; METAL 37;  /note="Zinc";  /evidence="ECO:0000269|PubMed:22096102"				Beta strand (2); Chain (1); Helix (3); Initiator methionine (1); Metal binding (4); Sequence conflict (1); Turn (2); Zinc finger (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.			
P0CX84	RL35A_YEAST	60S ribosomal protein L35-A (Large ribosomal subunit protein uL29-A)	120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Universal ribosomal protein uL29 family						Beta strand (1); Chain (1); Helix (5); Initiator methionine (1); Modified residue (2); Turn (4)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.			
P10622	RLA3_YEAST	60S acidic ribosomal protein P1-beta (Ax) (L12eIIB) (L44') (Large ribosomal subunit protein P1-B) (P1B) (YP1beta)	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Eukaryotic ribosomal protein P1/P2 family						Chain (1); Initiator methionine (1); Modified residue (2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.			
Q02555	RNT1_YEAST	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	471	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII							Beta strand (8); Chain (1); Domain (2); Helix (21); Turn (2)				
P53196	RPN14_YEAST	26S proteasome regulatory subunit RPN14 (Proteasome non-ATPase subunit 14)	417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	WD repeat PAAF1/RPN14 family						Beta strand (39); Chain (1); Helix (2); Repeat (6); Turn (8)	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.			
